课程名称,1-1,1-2,1-3,2-1,2-2,2-3,3-1,3-2,3-3,4-1,4-2,4-3,5-1,5-2,5-3,6-1,6-2,6-3,7-1,7-2,7-3,8-1,8-2,8-3
中国近现代史纲要,H,L,,L,H,M,,,,,,,,,L,,L,M,,,,,,
国家安全教育,M,L,,L,H,,,,,L,,,L,,L,,L,L,,L,,,,
体育与健康教育,L,H,L,L,L,M,,,,,,,L,,L,,M,L,,,,L,,L
劳动教育,L,H,L,M,L,L,,,,,,,,,L,,L,M,,,,M,L,
大学生心理健康教育,L,L,L,H,L,,,,,L,,,M,H,L,M,L,M,,,L,L,L,L
形势与政策,H,H,M,L,L,,,,,L,,,L,,L,,L,M,,L,M,,,
思想道德与法治,H,H,H,M,M,,,,,M,,,M,M,M,M,L,M,,,L,M,L,M
军事理论,H,H,M,L,L,L,,,,,,,L,M,M,L,L,L,,,,L,,
马克思主义基本原理概论,H,L,,,L,M,,,,,,,L,L,L,,L,L,L,L,,,,
毛泽东思想和中国特色社会主义理论体系概论,H,H,M,,L,M,,,,,,,L,L,L,,L,M,L,L,,,,
劳动实践,L,H,,,L,,,,,,,,,,L,,L,,,,,,M,L
习近平新时代中国特色社会主义思想概论,H,H,M,,L,M,,,,,,L,L,L,L,,L,M,L,L,,,,
大学英语,L,L,,,L,,,,,,M,,,,,,L,,M,,,,,
计算机基础应用,L,L,,,L,,,M,,,H,,,,,,L,,,,,,,
职业生涯与发展规划,L,M,,H,L,,,M,,,H,,,,,,L,,H,H,,,,
红色校史与入学教育,M,M,L,H,,H,,,,,,,,,,L,M,H,,,,L,L,
创新创业理论与实务,L,L,,,L,,M,,M,,,,,,,,L,,M,,,,,
就业指导,L,M,,H,L,,,,,,,,,,,,L,,H,,,L,,
大学语文,L,L,,,H,,,,,,,,,,,,M,,,M,,,,
人工智能基础素养,L,L,,,L,,,,L,,M,,,,,,L,,,,,,,
高等数学,L,L,,,L,,H,H,M,,,L,,,,,L,,,,,,,
大学物理A,L,L,,,L,H,H,H,M,,,L,,,,,L,,,,,,,
程序设计与应用,L,L,,,,,H,H,M,,M,L,,,,,L,,M,,,,,
创新创造能力训练,L,L,,,,,H,H,M,,,L,,,,,L,,M,,,,H,
科学教育与科学传播概论,L,L,,,,M,H,H,H,,L,L,,,,,L,H,H,L,,,,
普通生物学及实验,L,L,,,L,,H,H,M,,M,L,,,,,L,,,,,,M,
大学物理实验A,L,L,,,L,,H,H,M,,M,L,,,,,L,,,,,,M,
普通化学及实验,L,L,,,L,,H,H,M,,M,L,,,,,L,,,,,,M,
探究科学,L,L,,,,,H,H,M,,L,L,,,,,L,,M,,,H,,
青少年图形化编程,L,L,,,,,H,H,M,,L,L,,,,,L,,M,,,M,H,
STEM教育与创客教育,L,L,,,H,,H,H,M,,L,L,,,,,L,,M,,,H,,
普通地理学及实验,L,L,,,L,,H,H,M,,M,L,,,,,L,,L,,,,M,
科技活动与科技制作,L,L,,,,,H,H,H,,M,L,,,,,,,M,,,,H,
教育机器人,L,L,,,,,H,H,M,,M,L,,,,,L,,M,,,M,H,
CAD制图理论与实践,L,L,,,,,H,H,M,,M,L,,,,,L,,M,,,M,M,
科普基地科普能力训练,L,L,,,,,H,H,M,,M,L,,,,,L,,M,,,M,,
生活中的科学,L,L,,,,,H,M,H,,L,L,,,,,,,M,,M,,,
自然科学概论,L,L,,,,,H,H,M,,,L,,,,,L,,M,,,M,,
电子技术基础,L,L,,,,,H,H,M,,M,L,,,,,L,,M,,,M,,
科技文献检索与论文写作,L,L,,,L,,L,L,,,,H,,,,,L,,H,H,M,M,M,
科学前沿专题讲座,L,L,,,,,L,L,M,,,,,,,,L,,H,H,L,M,,
科学哲学,L,L,,,L,,L,L,,M,H,L,,,,,L,,M,,,,,
建筑模型训练,L,L,,,,,M,H,H,,L,L,,,,,,,,M,,M,M,
航空模型训练,L,L,,,,,M,H,H,,L,L,,,,,,,,M,,M,M,
航海模型训练,L,L,,,,,M,H,H,,L,L,,,,,,,,M,,M,M,
车辆模型训练,L,L,,,,,M,H,H,,L,L,,,,,,,,M,,M,M,
四轴无人机能力训练 ,L,L,,,,,M,H,H,,L,L,,,,,,,,M,,M,M,
科学研学旅游研究,L,L,,,,,M,H,H,,L,L,,,,,,,L,M,,M,M,
习近平总书记关于教育的重要论述研究,H,H,M,H,L,H,,M,,,,,L,,,M,L,,L,,,,,
教育学基础,L,M,H,M,M,,,,,H,H,H,M,M,,H,H,,,,L,,L,
儿童发展心理学,L,L,H,M,L,,,,,H,,,M,H,,H,H,,,,L,L,H,M
小学德育与班级管理,L,M,L,,L,H,,,,M,,,H,H,H,,L,H,,,L,M,M,H
教师语言,L,L,,,L,,,,,M,H,,L,M,L,H,L,,,,L,,M,M
教师职业道德与教育法规,L,M,H,H,L,H,,,,M,,,M,,M,,L,H,,,M,M,,M
三笔字,L,L,,,L,,,,,,H,,,,,,L,,,,L,,,
现代教育技术应用,L,L,,,L,,,,,M,H,,,,,,L,,,H,H,,,
科学课程标准与教材研究,L,L,,,L,,,,,H,L,M,,,,,L,,,H,M,M,,
科学课程与教学设计,L,L,,,L,,,,,H,H,H,,,,,L,,,M,M,L,L,
科学普及活动设计与指导,L,L,,,,,H,H,M,,M,L,,M,H,,L,,,M,L,,M,
科学实验研究及创意教具DIY,L,L,,,,,H,H,M,,M,L,,M,,,L,,,M,L,,M,
小学综合实践活动设计与指导,L,L,,,,,H,H,M,,M,L,H,M,,,L,H,,M,L,,M,
小学科学教学技能训练（含微格教学）,L,L,,,L,,,,,M,H,L,,L,,,L,,,M,L,M,M,
小学科学教育测量与评价,L,L,,,,,M,M,M,,L,H,,M,,,L,,,M,H,,M,
科普剧表演活动设计与指导 ,L,L,,,L,,,,,M,H,M,,,,,L,H,,,,H,M,
数字化科学实验研究,L,L,,,,,H,H,M,,H,H,,M,,,L,,,M,,,M,
小学教育科研方法与实务,L,L,,,L,,,,,H,M,H,,,,,L,,H,H,H,L,L,
小学研学旅行课程设计,L,L,,,L,,,M,,M,H,M,,,,,L,H,,,M,M,,
科技教育资源开发与应用,L,L,,,,,H,H,M,,L,H,,M,H,,L,,,M,H,,M,
科学微课设计与制作,L,H,,,L,,,M,,,H,L,,M,,,H,,,,H,M,,
青少年科技创新教育实践,L,L,,,,,H,H,M,,L,L,,M,,,L,,,M,L,,M,
教育机器人课程设计能力训练,M,M,,M,M,,,L,,L,H,L,H,L,,,H,,,M,M,,,
军事技能,H,H,M,,L,,,,,,,,M,M,,L,L,,,,,M,M,
劳动与社会实践,L,H,,,L,,,,,,,,,M,,,H,,,,,H,M,
教育见习,M,M,M,M,M,,M,M,M,L,H,M,H,H,H,H,H,,M,M,H,L,L,H
教育研习,M,M,M,M,M,,M,M,M,L,H,M,H,H,H,H,H,,M,M,H,L,L,H
教育实习,M,M,M,M,M,M,M,M,M,L,H,M,H,H,H,H,H,,M,M,H,L,L,H
创新创业实践,L,L,,,L,,M,,M,,,,,,,,,L,M,,,H,H,H
毕业论文,L,L,,,L,,M,M,H,M,M,M,,,,L,L,,,H,,,L,